TRATAMENTOS,SISTEMA,Aphelinidae sp 02,Aphelinidae sp 03,Aphelinidae sp 04,Aphelinidae sp 05,Aphelinidae sp 07,Aphelinidae sp 08,Aphelinidae sp 10,Aphelinidae sp 13,Aphelinidae sp 15,Aphelinidae sp 18,Bethylidae sp 01,Bethylidae sp 02,Bethylidae sp 04,Bethylidae sp 05,Braconidae sp 02,Braconidae sp 03,Braconidae sp 04,Braconidae sp 06,Braconidae sp 08,Braconidae sp 09,Braconidae sp 13,Ceraphonidae sp 01,Ceraphonidae sp 03,Ceraphonidae sp 04,Ceraphonidae sp 05,Ceraphonidae sp 06,Ceraphronidae sp 08,Chalcididae sp 02,Chalcididae sp 03,Diapriidae sp 01,Diapriidae sp 02,Diapriidae sp 03,Diapriidae sp 04,Drynidae sp 01,Encyrtidae sp 01,Encyrtidae sp 02,Encyrtidae sp 03,Encyrtidae sp 07,Encyrtidae sp 08,Encyrtidae sp 09,Encyrtidae sp 10,Encyrtidae sp 11,Encyrtidae sp 12,Encyrtidae sp 13,Encyrtidae sp 14,Encyrtidae sp 15,Encyrtidae sp 16,Encyrtidae sp 17,Encyrtidae sp 21,Encyrtidae sp 22,Encyrtidae sp 23,Encyrtidae sp 32,Encyrtidae sp 35,Encyrtidae sp 36,Encyrtidae sp 40,Encyrtidae sp 44,Eulophidae sp 01,Eulophidae sp 02,Eulophidae sp 03,Eulophidae sp 04,Eulophidae sp 05,Eulophidae sp 06,Eulophidae sp 07,Eulophidae sp 12,Eulophidae sp 15,Eulophidae sp 16,Eulophidae sp 19,Figitidae sp 01,Ichneumonidae sp 01,Ichneumonidae sp 05,Ichneumonidae sp 10,Megaspilidae sp 01,Megaspilidae sp 03,Mymaridae sp 01,Mymaridae sp 02,Mymaridae sp 03,Mymaridae sp 04,Mymaridae sp 05,Mymaridae sp 06,Mymaridae sp 07,Mymaridae sp 08,Mymaridae sp 09,Mymaridae sp 10,Mymaridae sp 13,Mymaridae sp 14,Mymaridae sp 15,Mymaridae sp 16,Mymaridae sp 17,Mymaridae sp 21,Mymaridae sp 24,Mymaridae sp 25,Mymaridae sp 33,Mymaridae sp 34,Platygastridae sp 01,Pteromalidae sp 01,Pteromalidae sp 02,Pteromalidae sp 10,Scelionidae sp 01,Scelionidae sp 02,Scelionidae sp 03,Scelionidae sp 04,Scelionidae sp 05,Scelionidae sp 06,Scelionidae sp 07,Scelionidae sp 08,Scelionidae sp 09,Scelionidae sp 10,Scelionidae sp 11,Scelionidae sp 12,Scelionidae sp 13,Scelionidae sp 14,Scelionidae sp 15,Scelionidae sp 16,Scelionidae sp 23,Scelionidae sp 26,Scelionidae sp 27,Scelionidae sp 32,Scelionidae sp 33,Signiphoridae sp 01,Signiphoridae sp 02,Signiphoridae sp 03,Trichogramma sp 01,Trichogramma sp 05,Trichogramma sp 06,Trichogramma sp 07,Trichogramma sp 08,Trichogramma sp 09
1ODUT 50,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ODUT 50,DIV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
1ODUT 50,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1ODUT 50,DIV,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ODUT 50,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1ODUT 50,DIV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ODUT 50,DIV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ODUT 50,DIV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
1ODUT 50,DIV,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1ODUT 50,DIV,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
