Tratamentos,SISTEMA,Aphelinidae sp 02,Aphelinidae sp 03,Aphelinidae sp 05,Aphelinidae sp 07,Aphelinidae sp 08,Aphelinidae sp 09,Aphelinidae sp 10,Aphelinidae sp 13,Aphelinidae sp 15,Aphelinidae sp 18,Aphelinidae sp 22,Bethylidae sp 01,Bethylidae sp 02,Bethylidae sp 04,Bethylidae sp 05,Bethylidae sp 07,Braconidae sp 01,Braconidae sp 03,Braconidae sp 05,Braconidae sp 06,Braconidae sp 07,Braconidae sp 08,Braconidae sp 09,Braconidae sp 13,Braconidae sp 14,Ceraphonidae sp 01,Ceraphonidae sp 03,Ceraphonidae sp 04,Ceraphonidae sp 06,Ceraphronidae sp 08,Ceraphronidae sp 12,Ceraphronidae sp 13,Chalcididae sp 02,Diapriidae sp 01,Diapriidae sp 02,Diapriidae sp 03,Diapriidae sp 04,Encyrtidae sp 01,Encyrtidae sp 02,Encyrtidae sp 09,Encyrtidae sp 10,Encyrtidae sp 11,Encyrtidae sp 12,Encyrtidae sp 14,Encyrtidae sp 16,Encyrtidae sp 18,Encyrtidae sp 21,Encyrtidae sp 22,Encyrtidae sp 25,Encyrtidae sp 34,Encyrtidae sp 35,Encyrtidae sp 36,Encyrtidae sp 37,Encyrtidae sp 40,Encyrtidae sp 44,Encyrtidae sp 45,Encyrtidae sp 46,Encyrtidae sp 47,Eulophidae sp 02,Eulophidae sp 05,Eulophidae sp 12,Eulophidae sp 15,Eulophidae sp 16,Eulophidae sp 17,Eulophidae sp 23,Eulophidae sp 26,Eupelmidae sp 01,Figitidae sp 01,Figitidae sp 02,Ichneumonidae sp 01,Ichneumonidae sp 06,Ichneumonidae sp 07,Ichneumonidae sp 10,Megaspilidae sp 03,Monomachidae sp 01,Monomachidae sp 02,Monomachidae sp 04,Mymaridae sp 01,Mymaridae sp 03,Mymaridae sp 04,Mymaridae sp 05,Mymaridae sp 06,Mymaridae sp 07,Mymaridae sp 08,Mymaridae sp 09,Mymaridae sp 10,Mymaridae sp 13,Mymaridae sp 14,Mymaridae sp 16,Mymaridae sp 17,Mymaridae sp 19,Mymaridae sp 21,Mymaridae sp 24,Mymaridae sp 25,Mymaridae sp 27,Mymaridae sp 33,Mymaridae sp 34,Mymaridae sp 38,Mymaridae sp 39,Pompilidae sp 03,Pteromalidae sp 01,Pteromalidae sp 13,Scelionidae sp 02,Scelionidae sp 03,Scelionidae sp 05,Scelionidae sp 08,Scelionidae sp 09,Scelionidae sp 10,Scelionidae sp 11,Scelionidae sp 14,Scelionidae sp 15,Scelionidae sp 16,Scelionidae sp 23,Scelionidae sp 26,Scelionidae sp 27,Scelionidae sp 29,Scelionidae sp 32,Scelionidae sp 33,Scelionidae sp 34,Scelionidae sp 38,Scelionidae sp 39,Signiphoridae sp 01,Signiphoridae sp 03,Trichogramma sp 01,Trichogramma sp 05,Trichogramma sp 07,Trichogramma sp 08,Trichogramma sp 09
1OANGA 3 40,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 3 40,DIV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 3 40,DIV,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1OANGA 3 40,DIV,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1OANGA 3 40,DIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
