Tratamentos,Riqueza,Abundancia,Shannon
OANGA,12,13,2.458
OANGA,10,10,2.303
OANGA,16,19,2.698
OANGA,13,14,2.54
OANGA,17,21,2.756
OANGA,21,23,3.015
OANGA,24,31,3.076
OANGA,11,15,2.303
OANGA,15,19,2.625
OANGA,16,23,2.608
OBVI 80,14,14,2.639
OBVI 80,23,179,1.031
OBVI 80,28,115,1.819
OBVI 80,29,88,2.31
OBVI 80,25,59,2.7
OBVI 80,15,17,2.639
OBVI 80,23,28,3.035
OBVI 80,19,24,2.785
OBVI 80,15,21,2.467
OBVI 80,13,15,2.523
OBVII 30,19,25,2.886
OBVII 30,21,28,2.849
OBVII 30,23,34,2.991
OBVII 30,22,35,2.946
OBVII 30,29,50,3.003
OBVII 30,17,32,2.574
OBVII 30,24,28,3.115
OBVII 30,27,36,3.184
OBVII 30,24,29,3.08
OBVII 30,14,16,2.599
OBVII 60,23,33,2.959
OBVII 60,21,25,2.976
OBVII 60,28,44,3.091
OBVII 60,23,27,3.09
OBVII 60,18,26,2.758
OBVII 60,17,17,2.833
OBVII 60,15,17,2.67
OBVII 60,23,39,2.997
OBVII 60,23,32,2.913
OBVII 60,15,16,2.686
OCER 60,13,38,1.483
OCER 60,20,49,2.05
OCER 60,20,46,2.427
OCER 60,17,24,2.485
OCER 60,12,39,1.48
OCER 60,14,20,2.484
OCER 60,18,22,2.839
OCER 60,24,31,3.059
OCER 60,28,40,3.171
OCER 60,30,38,3.309
OCER 90,15,17,2.67
OCER 90,19,26,2.811
OCER 90,23,31,2.996
OCER 90,25,47,2.858
OCER 90,30,51,2.841
OCER 90,33,41,3.397
OCER 90,23,34,2.891
OCER 90,20,27,2.885
OCER 90,27,39,3.173
OCER 90,16,32,2.303
ODUT 50,16,20,2.692
ODUT 50,25,30,3.17
ODUT 50,10,12,2.21
ODUT 50,14,21,2.463
ODUT 50,14,15,2.616
ODUT 50,5,6,1.561
ODUT 50,12,14,2.404
ODUT 50,17,19,2.799
ODUT 50,14,20,2.484
ODUT 50,16,22,2.65
ODUT 60,31,43,3.31
ODUT 60,30,40,3.303
ODUT 60,25,43,3.096
ODUT 60,28,42,3.204
ODUT 60,27,35,3.209
ODUT 60,15,23,2.352
ODUT 60,19,24,2.846
ODUT 60,22,34,2.869
ODUT 60,19,20,2.926
ODUT 60,25,32,3.146
OMAT,16,18,2.707
OMAT,15,16,2.686
OMAT,9,13,2.098
OMAT,8,10,1.973
OMAT,18,22,2.815
