TRATAMENTOS,RIQ,ABUND,SHAN
1ODUT 50,4,5,1.3322
1ODUT 50,17,20,2.7878
1ODUT 50,5,5,1.6094
1ODUT 50,6,10,1.6094
1ODUT 50,8,8,2.0794
1ODUT 50,3,3,1.0986
1ODUT 50,4,4,1.3863
1ODUT 50,13,14,2.5400
1ODUT 50,8,11,1.8938
1ODUT 50,12,14,2.4036
1OBVII 60,17,20,2.7616
1OBVII 60,16,18,2.7363
1OBVII 60,23,39,2.8815
1OBVII 60,14,15,2.6156
1OBVII 60,13,19,2.4337
1OBVII 60,13,13,2.5649
1OBVII 60,5,7,1.5498
1OBVII 60,12,19,2.3786
1OBVII 60,12,15,2.3384
1OBVI 80,13,13,2.5649
1OBVI 80,13,14,2.5400
1OBVI 80,10,11,2.2719
1OBVI 80,10,13,2.2450
1OBVI 80,9,16,1.8346
1OBVI 80,10,10,2.3026
1OBVI 80,13,17,2.4762
1OBVI 80,11,11,2.3979
1OBVI 80,10,11,2.2719
1OBVI 80,12,13,2.4583
1OCER 90,8,9,2.0432
1OCER 90,9,14,2.0449
1OCER 90,13,19,2.3750
1OCER 90,12,27,1.9667
1OCER 90,15,32,1.9173
1OCER 90,10,11,2.2719
1OCER 90,9,13,2.0579
1OCER 90,16,22,2.6892
1OCER 90,9,11,2.1458
1OMAT,7,7,1.9459
1OMAT,9,9,2.1972
1OMAT,6,8,1.6675
1OMAT,4,6,1.2425
1OMAT,8,8,2.0794
