TRAT,REP,RIQ,ABUND,SHAN
1ODUT 50,1,4,5,1.3322
1ODUT 50,2,17,20,2.7878
1ODUT 50,3,5,5,1.6094
1ODUT 50,4,6,10,1.6094
1ODUT 50,5,8,8,2.0794
1ODUT 50,6,3,3,1.0986
1ODUT 50,7,4,4,1.3863
1ODUT 50,8,13,14,2.5400
1ODUT 50,9,8,11,1.8938
1ODUT 50,10,12,14,2.4036
1OBVII 60,1,17,20,2.7616
1OBVII 60,2,16,18,2.7363
1OBVII 60,3,23,39,2.8815
1OBVII 60,4,14,15,2.6156
1OBVII 60,5,13,19,2.4337
1OBVII 60,6,13,13,2.5649
1OBVII 60,7,5,7,1.5498
1OBVII 60,8,12,19,2.3786
1OBVII 60,9,12,15,2.3384
1OBVI 80,1,13,13,2.5649
1OBVI 80,2,13,14,2.5400
1OBVI 80,3,10,11,2.2719
1OBVI 80,4,10,13,2.2450
1OBVI 80,5,9,16,1.8346
1OBVI 80,6,10,10,2.3026
1OBVI 80,7,13,17,2.4762
1OBVI 80,8,11,11,2.3979
1OBVI 80,9,10,11,2.2719
1OBVI 80,10,12,13,2.4583
1OCER 90,1,8,9,2.0432
1OCER 90,2,9,14,2.0449
1OCER 90,3,13,19,2.3750
1OCER 90,4,12,27,1.9667
1OCER 90,5,15,32,1.9173
1OCER 90,6,10,11,2.2719
1OCER 90,7,9,13,2.0579
1OCER 90,8,16,22,2.6892
1OCER 90,9,9,11,2.1458
1OMAT,1,7,7,1.9459
1OMAT,2,9,9,2.1972
1OMAT,3,6,8,1.6675
1OMAT,4,4,6,1.2425
1OMAT,5,8,8,2.0794
